2023-11-17 09:54:51,620 INFO    StreamThr :614025 [internal.py:wandb_internal():86] W&B internal server running at pid: 614025, started at: 2023-11-17 09:54:51.619778
2023-11-17 09:54:51,620 DEBUG   HandlerThread:614025 [handler.py:handle_request():146] handle_request: status
2023-11-17 09:54:51,622 INFO    WriterThread:614025 [datastore.py:open_for_write():85] open: /home/retina/dembysj/Dropbox/WCCI2024/iksolver/wandb/run-20231117_095451-xsdb6pgi/run-xsdb6pgi.wandb
2023-11-17 09:54:51,622 DEBUG   SenderThread:614025 [sender.py:send():380] send: header
2023-11-17 09:54:51,624 DEBUG   SenderThread:614025 [sender.py:send():380] send: run
2023-11-17 09:54:51,965 INFO    SenderThread:614025 [dir_watcher.py:__init__():211] watching files in: /home/retina/dembysj/Dropbox/WCCI2024/iksolver/wandb/run-20231117_095451-xsdb6pgi/files
2023-11-17 09:54:51,965 INFO    SenderThread:614025 [sender.py:_start_run_threads():1122] run started: xsdb6pgi with start time 1700236491.619822
2023-11-17 09:54:51,972 DEBUG   HandlerThread:614025 [handler.py:handle_request():146] handle_request: check_version
2023-11-17 09:54:51,972 DEBUG   SenderThread:614025 [sender.py:send_request():407] send_request: check_version
2023-11-17 09:54:52,095 DEBUG   HandlerThread:614025 [handler.py:handle_request():146] handle_request: run_start
2023-11-17 09:54:52,121 DEBUG   HandlerThread:614025 [system_info.py:__init__():32] System info init
2023-11-17 09:54:52,121 DEBUG   HandlerThread:614025 [system_info.py:__init__():47] System info init done
2023-11-17 09:54:52,122 INFO    HandlerThread:614025 [system_monitor.py:start():194] Starting system monitor
2023-11-17 09:54:52,122 INFO    SystemMonitor:614025 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-17 09:54:52,122 INFO    HandlerThread:614025 [system_monitor.py:probe():214] Collecting system info
2023-11-17 09:54:52,122 INFO    SystemMonitor:614025 [interfaces.py:start():190] Started cpu monitoring
2023-11-17 09:54:52,123 INFO    SystemMonitor:614025 [interfaces.py:start():190] Started disk monitoring
2023-11-17 09:54:52,124 INFO    SystemMonitor:614025 [interfaces.py:start():190] Started gpu monitoring
2023-11-17 09:54:52,124 INFO    SystemMonitor:614025 [interfaces.py:start():190] Started memory monitoring
2023-11-17 09:54:52,125 INFO    SystemMonitor:614025 [interfaces.py:start():190] Started network monitoring
2023-11-17 09:54:52,153 DEBUG   HandlerThread:614025 [system_info.py:probe():196] Probing system
2023-11-17 09:54:52,155 DEBUG   HandlerThread:614025 [system_info.py:_probe_git():181] Probing git
2023-11-17 09:54:52,159 DEBUG   HandlerThread:614025 [system_info.py:_probe_git():189] Probing git done
